run,auc_sl,acc_sl,ppv_sl,npv_sl,sens_sl,spec_sl,mean_auc_sl
92,0.748,NA,0.72,0.6,0.818181818,0.461538462,NA
93,0.666666667,NA,0.482758621,0.666666667,0.875,0.210526316,NA
94,0.699275362,NA,0.739130435,0.666666667,0.80952381,0.571428571,NA
95,0.756,NA,0.72,0.6,0.818181818,0.461538462,NA
96,0.784090909,NA,0.833333333,0.363636364,0.740740741,0.5,NA
97,0.757246377,NA,0.782608696,0.25,0.666666667,0.375,NA
98,0.768115942,NA,0.565217391,0.916666667,0.928571429,0.523809524,NA
99,0.695804196,NA,0.636363636,0.538461538,0.7,0.466666667,NA
100,0.717592593,NA,0.592592593,0.625,0.842105263,0.3125,NA
101,0.772727273,NA,0.791666667,0.636363636,0.826086957,0.583333333,NA
102,0.780612245,NA,0.642857143,0.714285714,0.9,0.333333333,NA
103,0.716,NA,0.68,0.6,0.80952381,0.428571429,NA
104,0.733333333,NA,0.75,0.466666667,0.652173913,0.583333333,NA
105,0.814393939,NA,0.791666667,0.363636364,0.730769231,0.444444444,NA
106,0.634057971,NA,0.695652174,0.583333333,0.761904762,0.5,NA
107,0.647727273,NA,0.583333333,0.545454545,0.736842105,0.375,NA
108,0.702898551,NA,0.826086957,0.333333333,0.703703704,0.5,NA
109,0.784090909,NA,0.666666667,0.818181818,0.888888889,0.529411765,NA
110,0.776515152,NA,0.458333333,0.818181818,0.846153846,0.409090909,NA
111,0.74537037,NA,0.740740741,0.375,0.8,0.3,NA
112,0.724489796,NA,0.642857143,0.714285714,0.9,0.333333333,NA
113,0.672,NA,0.76,0.2,0.703703704,0.25,NA
114,0.740131579,NA,0.631578947,0.625,0.666666667,0.588235294,NA
115,0.688811189,NA,0.590909091,0.692307692,0.764705882,0.5,NA
116,0.78030303,NA,0.708333333,0.545454545,0.772727273,0.461538462,NA
117,0.673469388,NA,0.761904762,0.571428571,0.727272727,0.615384615,NA
118,0.614942529,NA,0.586206897,0.666666667,0.894736842,0.25,NA
119,0.708,NA,0.64,0.7,0.842105263,0.4375,NA
120,0.829059829,NA,0.615384615,0.888888889,0.941176471,0.444444444,NA
121,0.829710145,NA,0.782608696,0.583333333,0.782608696,0.583333333,NA
122,0.724489796,NA,0.619047619,0.642857143,0.722222222,0.529411765,NA
123,0.752136752,NA,0.576923077,0.777777778,0.882352941,0.388888889,NA
124,0.704,NA,0.6,0.8,0.882352941,0.444444444,NA
125,0.688034188,NA,0.5,0.666666667,0.8125,0.315789474,NA
126,0.670289855,NA,0.47826087,0.75,0.785714286,0.428571429,NA
127,0.81,NA,0.8,0.6,0.727272727,0.692307692,NA
128,0.663043478,NA,0.739130435,0.5,0.739130435,0.5,NA
129,0.820512821,NA,0.846153846,0.555555556,0.846153846,0.555555556,NA
130,0.590909091,NA,0.681818182,0.461538462,0.681818182,0.461538462,NA
131,0.846153846,NA,0.923076923,0.333333333,0.8,0.6,NA
132,0.707482993,NA,0.666666667,0.5,0.666666667,0.5,NA
133,0.689393939,NA,0.708333333,0.545454545,0.772727273,0.461538462,NA
134,0.766447368,NA,0.578947368,0.8125,0.785714286,0.619047619,NA
135,0.764492754,NA,0.869565217,0.416666667,0.740740741,0.625,NA
136,0.673333333,NA,0.6,0.533333333,0.631578947,0.5,NA
137,0.736,NA,0.72,0.7,0.857142857,0.5,NA
138,0.692,NA,0.68,0.4,0.739130435,0.333333333,NA
139,0.699275362,NA,0.695652174,0.583333333,0.761904762,0.5,NA
140,0.896,NA,0.92,0.5,0.821428571,0.714285714,NA
141,0.692307692,NA,0.863636364,0.307692308,0.678571429,0.571428571,NA
142,0.765306122,NA,0.785714286,0.571428571,0.88,0.4,NA
143,0.773333333,NA,1,0.266666667,0.64516129,1,NA
144,0.844202899,NA,0.695652174,0.666666667,0.8,0.533333333,NA
145,0.641025641,NA,0.653846154,0.333333333,0.739130435,0.25,NA
146,0.673469388,NA,0.714285714,0.5,0.681818182,0.538461538,NA
147,0.632575758,NA,0.833333333,0.363636364,0.740740741,0.5,NA
148,0.696581197,NA,0.692307692,0.333333333,0.75,0.272727273,NA
149,0.797101449,NA,0.739130435,0.666666667,0.80952381,0.571428571,NA
150,0.75,NA,0.666666667,0.909090909,0.941176471,0.555555556,NA
151,0.769230769,NA,0.769230769,0.444444444,0.8,0.4,NA
152,0.828,NA,0.76,0.8,0.904761905,0.571428571,NA
153,0.734693878,NA,0.714285714,0.571428571,0.869565217,0.333333333,NA
154,0.82,NA,0.8,0.466666667,0.666666667,0.636363636,NA
155,0.84057971,NA,0.739130435,0.75,0.85,0.6,NA
156,0.759259259,NA,0.703703704,0.5,0.826086957,0.333333333,NA
157,0.884615385,NA,0.730769231,1,1,0.5625,NA
158,0.742753623,NA,0.695652174,0.666666667,0.8,0.533333333,NA
159,0.454081633,NA,0.571428571,0.142857143,0.727272727,0.076923077,NA
160,0.70979021,NA,0.772727273,0.538461538,0.739130435,0.583333333,NA
161,0.699300699,NA,0.727272727,0.384615385,0.666666667,0.454545455,NA
162,0.611111111,NA,0.555555556,0.375,0.75,0.2,NA
163,0.785714286,NA,0.80952381,0.5,0.708333333,0.636363636,NA
164,0.712121212,NA,0.75,0.272727273,0.692307692,0.333333333,NA
165,0.729885057,NA,0.586206897,0.666666667,0.894736842,0.25,NA
166,0.672,NA,0.8,0.3,0.740740741,0.375,NA
167,0.66,NA,0.633333333,0.6,0.904761905,0.214285714,NA
168,0.87037037,NA,0.888888889,0.625,0.888888889,0.625,NA
169,0.793478261,NA,0.826086957,0.666666667,0.826086957,0.666666667,NA
170,0.804,NA,0.64,0.9,0.941176471,0.5,NA
171,0.744,NA,0.72,0.7,0.857142857,0.5,NA
172,0.867521368,NA,0.807692308,0.777777778,0.913043478,0.583333333,NA
173,0.796,NA,0.76,0.7,0.863636364,0.538461538,NA
174,0.657407407,NA,0.592592593,0.625,0.842105263,0.3125,NA
175,0.666666667,NA,0.583333333,0.636363636,0.777777778,0.411764706,NA
176,0.893162393,NA,0.692307692,0.888888889,0.947368421,0.5,NA
177,0.8,NA,0.68,0.7,0.85,0.466666667,NA
178,0.756,NA,0.76,0.5,0.791666667,0.454545455,NA
179,0.712,NA,0.84,0.3,0.75,0.428571429,NA
180,0.848,NA,0.8,0.7,0.869565217,0.583333333,NA
181,0.756410256,NA,0.884615385,0.333333333,0.793103448,0.5,NA
182,0.837121212,NA,0.875,0.727272727,0.875,0.727272727,NA
183,0.615131579,NA,0.736842105,0.25,0.538461538,0.444444444,NA
184,0.818181818,NA,0.708333333,0.818181818,0.894736842,0.5625,NA
185,0.785714286,NA,0.857142857,0.428571429,0.692307692,0.666666667,NA
186,0.833333333,NA,0.807692308,0.555555556,0.84,0.5,NA
187,0.715909091,NA,0.666666667,0.636363636,0.8,0.466666667,NA
188,0.888888889,NA,0.666666667,0.875,0.947368421,0.4375,NA
189,0.829545455,NA,0.666666667,0.727272727,0.842105263,0.5,NA
190,0.746376812,NA,0.652173913,0.5,0.714285714,0.428571429,NA
191,0.784090909,NA,0.833333333,0.454545455,0.769230769,0.555555556,NA
192,0.805555556,NA,0.62962963,1,1,0.444444444,NA
193,0.693877551,NA,0.785714286,0.428571429,0.846153846,0.333333333,NA
194,0.836,NA,0.96,0.3,0.774193548,0.75,NA
195,0.765151515,NA,0.708333333,0.545454545,0.772727273,0.461538462,NA
196,0.576086957,NA,0.652173913,0.333333333,0.652173913,0.333333333,NA
197,0.584,NA,0.6,0.4,0.714285714,0.285714286,NA
198,0.689393939,NA,0.625,0.636363636,0.789473684,0.4375,NA
199,0.75462963,NA,0.814814815,0.375,0.814814815,0.375,NA
